district,Andaman_and_Nicobar,Andhra_Pradesh,Arunachal_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Countries_in_Africa,Countries_in_America,Countries_in_Asia_beyond_India,Countries_in_Europe,Countries_in_Oceania,Dadra_and_Nagar_Haveli,Daman_and_Diu,Delhi,Elsewhere_in_the_district_of_enumeration,Goa,Gujarat,Haryana,Himachal_Pradesh,Jammu_and_Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Last_residence_elsewhere_in_India,Madhya_Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Pondicherry,Punjab,Rajasthan,Sikkim,States_in_India_beyond_the_state_of_enumeration,Tamil_Nadu,Total,Tripura,Uttar_Pradesh,Uttaranchal,West_Bengal,Within_the_state_of_enumeration_but_outside_the_place_of_enumeration
Jhunjhunun,0,427,4,199,596,54,33,12,6,321,8,7,4,0,1004,464587,7,637,32396,42,121,219,79,171,0,588562,614,903,19,23,1,7,131,24,708,82291,8,41684,565,588916,23,1743,356,566,546878
Wayanad,9,146,2,19,25,1,30,8,9,512,13,5,0,0,44,97164,9,26,12,67,9,69,6913,132158,2,248738,42,203,1,0,1,3,23,120,17,53,0,19416,11436,249285,1,98,9,26,229322
Fatehabad,0,65,1,51,4589,236,63,2,2,9479,4,1,0,0,964,78312,2,103,111023,1375,60,267,13,6,0,284319,796,159,2,2,0,1,165,0,56545,20566,0,94984,15,293807,0,7980,643,315,189335
Morena,0,56,4,29,729,16,793,0,0,271,1,0,1,0,424,282296,1,201,200,34,26,132,17,84,0,420470,82393,575,0,0,0,0,78,1,179,14973,0,55781,7,420742,6,36752,135,328,364689
Siddharthnagar,1,44,8,153,2407,1,1527,6,6,14663,9,5,0,2,96,400786,3,105,30,62,54,1598,48,37,0,485269,135,1170,1,0,2,2,154,0,40,107,0,9167,44,499958,3,75316,46,1287,476102
Kushinagar,7,37,6,339,82541,23,178,3,0,1246,6,3,0,0,216,535597,9,67,115,32,23,3806,56,74,0,717413,260,230,24,1,25,62,47,0,175,290,1,90758,21,718671,1,91058,848,1244,626655
Tirunelveli,51,329,9,18,32,7,1,13,10,2347,12,1,0,0,298,486667,31,199,22,15,21,22,368,4426,1,546536,103,1246,4,2,0,9,38,58,50,128,2,7635,52234,548919,0,85,8,52,538901
West_Kameng,0,90,3903,5059,1485,11,14,1,0,2351,1,2,0,0,77,12060,4,67,179,75,114,100,49,151,0,26544,97,133,44,98,23,31,82,1,328,405,95,10581,69,28899,33,843,127,697,15963
Deoria,4,51,23,378,65096,20,280,6,5,315,4,12,2,1,163,545908,11,170,88,18,18,3627,54,23,0,701137,787,466,7,4,0,10,97,5,117,124,0,73857,30,701479,39,81372,240,1904,627280
Thanjavur,36,343,8,61,58,4,0,7,11,4333,2,0,0,0,63,335398,7,100,10,3,23,8,354,925,1,440227,58,311,8,1,2,0,13,1488,22,195,1,4228,100601,444580,1,60,1,63,435999
Kangra,10,492,42,330,1755,1395,2625,10,35,7040,66,9,0,1,3551,383800,31,319,1749,49348,4688,1145,374,208,0,496772,988,1292,35,82,21,70,503,3,31118,3189,88,63624,146,503932,26,5033,1221,1094,433148
Bilaspur_(Chhattisgarh),2,2788,4,170,3862,312,107489,3,3,2148,2,7,2,0,562,443633,3,624,689,195,64,2303,125,553,0,625322,34064,5712,10,10,1,5,4152,12,645,938,3,74200,398,627485,16,9925,184,5867,551122
Aizawl,1,44,181,7130,959,11,6,1,4,4849,11,0,0,0,132,59926,16,7,52,73,61,875,40,271,0,128813,80,108,6265,1661,48561,349,86,1,53,82,24,20326,72,133678,800,304,114,468,108487
Jhansi,8,335,23,397,2210,39,342,30,15,723,18,20,9,3,1078,289102,8,426,1114,1247,361,252,264,705,1,497850,99040,2202,31,12,4,12,805,6,1301,1656,7,116276,364,498657,54,92472,1151,809,381574
Jashpur,75,25,6,352,1480,10,27420,1,1,52,5,1,0,1,49,162899,7,30,344,15,25,15116,38,60,0,215829,1275,164,8,2,0,14,4730,0,110,293,1,25510,25,215889,4,770,16,465,190319
Budaun,0,156,3,622,2968,37,2038,8,2,2052,10,6,2,0,2059,460217,5,190,420,40,28,670,108,46,2,676032,2854,353,0,3,2,45,569,0,467,383,0,21721,23,678110,7,194094,2368,5253,654311
Vadodara,73,2831,11,1399,8971,413,785,1106,376,5085,275,30,96,166,2874,928998,306,415914,1796,821,592,1815,2853,8054,0,1543129,24546,61906,158,14,5,9,1640,99,3660,25661,16,198217,3476,1550001,117,35349,2058,5647,1344912
Bhilwara,1,2006,4,137,3971,29,109,0,2,725,5,0,1,1,503,459979,6,2218,868,151,77,471,1025,621,0,642415,15086,1211,9,7,0,1,1156,2,567,144030,4,38406,180,643147,4,6703,212,1065,604009
